"","v","num","s","s.u","u","gc_name"
"358","cg_",358,"(1.25,1.5]","(2.25,2.5]",0.45,"cg_358"
"359","cg_",359,"(1.25,1.5]","(2.5,2.75]",0.45,"cg_359"
"360","cg_",360,"(1.25,1.5]","(2.75,3]",0.45,"cg_360"
"361","cg_",361,"(1.5,1.75]","[0,0.25]",0.45,"cg_361"
"362","cg_",362,"(1.5,1.75]","(0.25,0.5]",0.45,"cg_362"
"363","cg_",363,"(1.5,1.75]","(0.5,0.75]",0.45,"cg_363"
"364","cg_",364,"(1.5,1.75]","(0.75,1]",0.45,"cg_364"
"365","cg_",365,"(1.5,1.75]","(1,1.25]",0.45,"cg_365"
"366","cg_",366,"(1.5,1.75]","(1.25,1.5]",0.45,"cg_366"
"367","cg_",367,"(1.5,1.75]","(1.5,1.75]",0.45,"cg_367"
"368","cg_",368,"(1.5,1.75]","(1.75,2]",0.45,"cg_368"
"369","cg_",369,"(1.5,1.75]","(2,2.25]",0.45,"cg_369"
"370","cg_",370,"(1.5,1.75]","(2.25,2.5]",0.45,"cg_370"
"371","cg_",371,"(1.5,1.75]","(2.5,2.75]",0.45,"cg_371"
"372","cg_",372,"(1.5,1.75]","(2.75,3]",0.45,"cg_372"
"373","cg_",373,"(1.75,2]","[0,0.25]",0.45,"cg_373"
"374","cg_",374,"(1.75,2]","(0.25,0.5]",0.45,"cg_374"
"375","cg_",375,"(1.75,2]","(0.5,0.75]",0.45,"cg_375"
"376","cg_",376,"(1.75,2]","(0.75,1]",0.45,"cg_376"
"377","cg_",377,"(1.75,2]","(1,1.25]",0.45,"cg_377"
"378","cg_",378,"(1.75,2]","(1.25,1.5]",0.45,"cg_378"
"379","cg_",379,"(1.75,2]","(1.5,1.75]",0.45,"cg_379"
"380","cg_",380,"(1.75,2]","(1.75,2]",0.45,"cg_380"
"381","cg_",381,"(1.75,2]","(2,2.25]",0.45,"cg_381"
"382","cg_",382,"(1.75,2]","(2.25,2.5]",0.45,"cg_382"
"383","cg_",383,"(1.75,2]","(2.5,2.75]",0.45,"cg_383"
"384","cg_",384,"(1.75,2]","(2.75,3]",0.45,"cg_384"
"385","cg_",385,"(2,2.25]","[0,0.25]",0.45,"cg_385"
"386","cg_",386,"(2,2.25]","(0.25,0.5]",0.45,"cg_386"
"387","cg_",387,"(2,2.25]","(0.5,0.75]",0.45,"cg_387"
"388","cg_",388,"(2,2.25]","(0.75,1]",0.45,"cg_388"
"389","cg_",389,"(2,2.25]","(1,1.25]",0.45,"cg_389"
"390","cg_",390,"(2,2.25]","(1.25,1.5]",0.45,"cg_390"
"391","cg_",391,"(2,2.25]","(1.5,1.75]",0.45,"cg_391"
"392","cg_",392,"(2,2.25]","(1.75,2]",0.45,"cg_392"
"393","cg_",393,"(2,2.25]","(2,2.25]",0.45,"cg_393"
"394","cg_",394,"(2,2.25]","(2.25,2.5]",0.45,"cg_394"
"395","cg_",395,"(2,2.25]","(2.5,2.75]",0.45,"cg_395"
"396","cg_",396,"(2,2.25]","(2.75,3]",0.45,"cg_396"
"397","cg_",397,"(2.25,2.5]","[0,0.25]",0.45,"cg_397"
"398","cg_",398,"(2.25,2.5]","(0.25,0.5]",0.45,"cg_398"
"399","cg_",399,"(2.25,2.5]","(0.5,0.75]",0.45,"cg_399"
"400","cg_",400,"(2.25,2.5]","(0.75,1]",0.45,"cg_400"
"401","cg_",401,"(2.25,2.5]","(1,1.25]",0.45,"cg_401"
"402","cg_",402,"(2.25,2.5]","(1.25,1.5]",0.45,"cg_402"
"403","cg_",403,"(2.25,2.5]","(1.5,1.75]",0.45,"cg_403"
"404","cg_",404,"(2.25,2.5]","(1.75,2]",0.45,"cg_404"
"405","cg_",405,"(2.25,2.5]","(2,2.25]",0.45,"cg_405"
"406","cg_",406,"(2.25,2.5]","(2.25,2.5]",0.45,"cg_406"
"407","cg_",407,"(2.25,2.5]","(2.5,2.75]",0.45,"cg_407"
"408","cg_",408,"(2.25,2.5]","(2.75,3]",0.45,"cg_408"
"409","cg_",409,"(2.5,2.75]","[0,0.25]",0.45,"cg_409"
"410","cg_",410,"(2.5,2.75]","(0.25,0.5]",0.45,"cg_410"
"411","cg_",411,"(2.5,2.75]","(0.5,0.75]",0.45,"cg_411"
"412","cg_",412,"(2.5,2.75]","(0.75,1]",0.45,"cg_412"
"413","cg_",413,"(2.5,2.75]","(1,1.25]",0.45,"cg_413"
"414","cg_",414,"(2.5,2.75]","(1.25,1.5]",0.45,"cg_414"
"415","cg_",415,"(2.5,2.75]","(1.5,1.75]",0.45,"cg_415"
"416","cg_",416,"(2.5,2.75]","(1.75,2]",0.45,"cg_416"
"417","cg_",417,"(2.5,2.75]","(2,2.25]",0.45,"cg_417"
"418","cg_",418,"(2.5,2.75]","(2.25,2.5]",0.45,"cg_418"
"419","cg_",419,"(2.5,2.75]","(2.5,2.75]",0.45,"cg_419"
"420","cg_",420,"(2.5,2.75]","(2.75,3]",0.45,"cg_420"
"421","cg_",421,"(2.75,3]","[0,0.25]",0.45,"cg_421"
"422","cg_",422,"(2.75,3]","(0.25,0.5]",0.45,"cg_422"
"423","cg_",423,"(2.75,3]","(0.5,0.75]",0.45,"cg_423"
"424","cg_",424,"(2.75,3]","(0.75,1]",0.45,"cg_424"
"425","cg_",425,"(2.75,3]","(1,1.25]",0.45,"cg_425"
"426","cg_",426,"(2.75,3]","(1.25,1.5]",0.45,"cg_426"
"427","cg_",427,"(2.75,3]","(1.5,1.75]",0.45,"cg_427"
"428","cg_",428,"(2.75,3]","(1.75,2]",0.45,"cg_428"
"429","cg_",429,"(2.75,3]","(2,2.25]",0.45,"cg_429"
"430","cg_",430,"(2.75,3]","(2.25,2.5]",0.45,"cg_430"
"431","cg_",431,"(2.75,3]","(2.5,2.75]",0.45,"cg_431"
"432","cg_",432,"(2.75,3]","(2.75,3]",0.45,"cg_432"
"433","cg_",433,"[0,0.25]","[0,0.25]",0.6,"cg_433"
"434","cg_",434,"[0,0.25]","(0.25,0.5]",0.6,"cg_434"
"435","cg_",435,"[0,0.25]","(0.5,0.75]",0.6,"cg_435"
"436","cg_",436,"[0,0.25]","(0.75,1]",0.6,"cg_436"
"437","cg_",437,"[0,0.25]","(1,1.25]",0.6,"cg_437"
"438","cg_",438,"[0,0.25]","(1.25,1.5]",0.6,"cg_438"
"439","cg_",439,"[0,0.25]","(1.5,1.75]",0.6,"cg_439"
"440","cg_",440,"[0,0.25]","(1.75,2]",0.6,"cg_440"
"441","cg_",441,"[0,0.25]","(2,2.25]",0.6,"cg_441"
"442","cg_",442,"[0,0.25]","(2.25,2.5]",0.6,"cg_442"
"443","cg_",443,"[0,0.25]","(2.5,2.75]",0.6,"cg_443"
"444","cg_",444,"[0,0.25]","(2.75,3]",0.6,"cg_444"
"445","cg_",445,"(0.25,0.5]","[0,0.25]",0.6,"cg_445"
"446","cg_",446,"(0.25,0.5]","(0.25,0.5]",0.6,"cg_446"
"447","cg_",447,"(0.25,0.5]","(0.5,0.75]",0.6,"cg_447"
"448","cg_",448,"(0.25,0.5]","(0.75,1]",0.6,"cg_448"
"449","cg_",449,"(0.25,0.5]","(1,1.25]",0.6,"cg_449"
"450","cg_",450,"(0.25,0.5]","(1.25,1.5]",0.6,"cg_450"
"451","cg_",451,"(0.25,0.5]","(1.5,1.75]",0.6,"cg_451"
"452","cg_",452,"(0.25,0.5]","(1.75,2]",0.6,"cg_452"
"453","cg_",453,"(0.25,0.5]","(2,2.25]",0.6,"cg_453"
"454","cg_",454,"(0.25,0.5]","(2.25,2.5]",0.6,"cg_454"
"455","cg_",455,"(0.25,0.5]","(2.5,2.75]",0.6,"cg_455"
"456","cg_",456,"(0.25,0.5]","(2.75,3]",0.6,"cg_456"
"457","cg_",457,"(0.5,0.75]","[0,0.25]",0.6,"cg_457"
"458","cg_",458,"(0.5,0.75]","(0.25,0.5]",0.6,"cg_458"
"459","cg_",459,"(0.5,0.75]","(0.5,0.75]",0.6,"cg_459"
"460","cg_",460,"(0.5,0.75]","(0.75,1]",0.6,"cg_460"
"461","cg_",461,"(0.5,0.75]","(1,1.25]",0.6,"cg_461"
"462","cg_",462,"(0.5,0.75]","(1.25,1.5]",0.6,"cg_462"
"463","cg_",463,"(0.5,0.75]","(1.5,1.75]",0.6,"cg_463"
"464","cg_",464,"(0.5,0.75]","(1.75,2]",0.6,"cg_464"
"465","cg_",465,"(0.5,0.75]","(2,2.25]",0.6,"cg_465"
"466","cg_",466,"(0.5,0.75]","(2.25,2.5]",0.6,"cg_466"
"467","cg_",467,"(0.5,0.75]","(2.5,2.75]",0.6,"cg_467"
"468","cg_",468,"(0.5,0.75]","(2.75,3]",0.6,"cg_468"
"469","cg_",469,"(0.75,1]","[0,0.25]",0.6,"cg_469"
"470","cg_",470,"(0.75,1]","(0.25,0.5]",0.6,"cg_470"
"471","cg_",471,"(0.75,1]","(0.5,0.75]",0.6,"cg_471"
"472","cg_",472,"(0.75,1]","(0.75,1]",0.6,"cg_472"
"473","cg_",473,"(0.75,1]","(1,1.25]",0.6,"cg_473"
"474","cg_",474,"(0.75,1]","(1.25,1.5]",0.6,"cg_474"
"475","cg_",475,"(0.75,1]","(1.5,1.75]",0.6,"cg_475"
"476","cg_",476,"(0.75,1]","(1.75,2]",0.6,"cg_476"
"477","cg_",477,"(0.75,1]","(2,2.25]",0.6,"cg_477"
"478","cg_",478,"(0.75,1]","(2.25,2.5]",0.6,"cg_478"
"479","cg_",479,"(0.75,1]","(2.5,2.75]",0.6,"cg_479"
"480","cg_",480,"(0.75,1]","(2.75,3]",0.6,"cg_480"
"481","cg_",481,"(1,1.25]","[0,0.25]",0.6,"cg_481"
"482","cg_",482,"(1,1.25]","(0.25,0.5]",0.6,"cg_482"
"483","cg_",483,"(1,1.25]","(0.5,0.75]",0.6,"cg_483"
"484","cg_",484,"(1,1.25]","(0.75,1]",0.6,"cg_484"
"485","cg_",485,"(1,1.25]","(1,1.25]",0.6,"cg_485"
"486","cg_",486,"(1,1.25]","(1.25,1.5]",0.6,"cg_486"
"487","cg_",487,"(1,1.25]","(1.5,1.75]",0.6,"cg_487"
"488","cg_",488,"(1,1.25]","(1.75,2]",0.6,"cg_488"
"489","cg_",489,"(1,1.25]","(2,2.25]",0.6,"cg_489"
"490","cg_",490,"(1,1.25]","(2.25,2.5]",0.6,"cg_490"
"491","cg_",491,"(1,1.25]","(2.5,2.75]",0.6,"cg_491"
"492","cg_",492,"(1,1.25]","(2.75,3]",0.6,"cg_492"
"493","cg_",493,"(1.25,1.5]","[0,0.25]",0.6,"cg_493"
"494","cg_",494,"(1.25,1.5]","(0.25,0.5]",0.6,"cg_494"
"495","cg_",495,"(1.25,1.5]","(0.5,0.75]",0.6,"cg_495"
"496","cg_",496,"(1.25,1.5]","(0.75,1]",0.6,"cg_496"
"497","cg_",497,"(1.25,1.5]","(1,1.25]",0.6,"cg_497"
"498","cg_",498,"(1.25,1.5]","(1.25,1.5]",0.6,"cg_498"
"499","cg_",499,"(1.25,1.5]","(1.5,1.75]",0.6,"cg_499"
"500","cg_",500,"(1.25,1.5]","(1.75,2]",0.6,"cg_500"
"501","cg_",501,"(1.25,1.5]","(2,2.25]",0.6,"cg_501"
"502","cg_",502,"(1.25,1.5]","(2.25,2.5]",0.6,"cg_502"
"503","cg_",503,"(1.25,1.5]","(2.5,2.75]",0.6,"cg_503"
"504","cg_",504,"(1.25,1.5]","(2.75,3]",0.6,"cg_504"
"505","cg_",505,"(1.5,1.75]","[0,0.25]",0.6,"cg_505"
"506","cg_",506,"(1.5,1.75]","(0.25,0.5]",0.6,"cg_506"
"507","cg_",507,"(1.5,1.75]","(0.5,0.75]",0.6,"cg_507"
"508","cg_",508,"(1.5,1.75]","(0.75,1]",0.6,"cg_508"
"509","cg_",509,"(1.5,1.75]","(1,1.25]",0.6,"cg_509"
"510","cg_",510,"(1.5,1.75]","(1.25,1.5]",0.6,"cg_510"
"511","cg_",511,"(1.5,1.75]","(1.5,1.75]",0.6,"cg_511"
"512","cg_",512,"(1.5,1.75]","(1.75,2]",0.6,"cg_512"
"513","cg_",513,"(1.5,1.75]","(2,2.25]",0.6,"cg_513"
"514","cg_",514,"(1.5,1.75]","(2.25,2.5]",0.6,"cg_514"
"515","cg_",515,"(1.5,1.75]","(2.5,2.75]",0.6,"cg_515"
"516","cg_",516,"(1.5,1.75]","(2.75,3]",0.6,"cg_516"
"517","cg_",517,"(1.75,2]","[0,0.25]",0.6,"cg_517"
"518","cg_",518,"(1.75,2]","(0.25,0.5]",0.6,"cg_518"
"519","cg_",519,"(1.75,2]","(0.5,0.75]",0.6,"cg_519"
"520","cg_",520,"(1.75,2]","(0.75,1]",0.6,"cg_520"
"521","cg_",521,"(1.75,2]","(1,1.25]",0.6,"cg_521"
"522","cg_",522,"(1.75,2]","(1.25,1.5]",0.6,"cg_522"
"523","cg_",523,"(1.75,2]","(1.5,1.75]",0.6,"cg_523"
"524","cg_",524,"(1.75,2]","(1.75,2]",0.6,"cg_524"
"525","cg_",525,"(1.75,2]","(2,2.25]",0.6,"cg_525"
"526","cg_",526,"(1.75,2]","(2.25,2.5]",0.6,"cg_526"
"527","cg_",527,"(1.75,2]","(2.5,2.75]",0.6,"cg_527"
"528","cg_",528,"(1.75,2]","(2.75,3]",0.6,"cg_528"
"529","cg_",529,"(2,2.25]","[0,0.25]",0.6,"cg_529"
"530","cg_",530,"(2,2.25]","(0.25,0.5]",0.6,"cg_530"
"531","cg_",531,"(2,2.25]","(0.5,0.75]",0.6,"cg_531"
"532","cg_",532,"(2,2.25]","(0.75,1]",0.6,"cg_532"
"533","cg_",533,"(2,2.25]","(1,1.25]",0.6,"cg_533"
"534","cg_",534,"(2,2.25]","(1.25,1.5]",0.6,"cg_534"
"535","cg_",535,"(2,2.25]","(1.5,1.75]",0.6,"cg_535"
"536","cg_",536,"(2,2.25]","(1.75,2]",0.6,"cg_536"
"537","cg_",537,"(2,2.25]","(2,2.25]",0.6,"cg_537"
"538","cg_",538,"(2,2.25]","(2.25,2.5]",0.6,"cg_538"
"539","cg_",539,"(2,2.25]","(2.5,2.75]",0.6,"cg_539"
"540","cg_",540,"(2,2.25]","(2.75,3]",0.6,"cg_540"
"541","cg_",541,"(2.25,2.5]","[0,0.25]",0.6,"cg_541"
"542","cg_",542,"(2.25,2.5]","(0.25,0.5]",0.6,"cg_542"
"543","cg_",543,"(2.25,2.5]","(0.5,0.75]",0.6,"cg_543"
"544","cg_",544,"(2.25,2.5]","(0.75,1]",0.6,"cg_544"
"545","cg_",545,"(2.25,2.5]","(1,1.25]",0.6,"cg_545"
"546","cg_",546,"(2.25,2.5]","(1.25,1.5]",0.6,"cg_546"
"547","cg_",547,"(2.25,2.5]","(1.5,1.75]",0.6,"cg_547"
"548","cg_",548,"(2.25,2.5]","(1.75,2]",0.6,"cg_548"
"549","cg_",549,"(2.25,2.5]","(2,2.25]",0.6,"cg_549"
"550","cg_",550,"(2.25,2.5]","(2.25,2.5]",0.6,"cg_550"
"551","cg_",551,"(2.25,2.5]","(2.5,2.75]",0.6,"cg_551"
"552","cg_",552,"(2.25,2.5]","(2.75,3]",0.6,"cg_552"
"553","cg_",553,"(2.5,2.75]","[0,0.25]",0.6,"cg_553"
"554","cg_",554,"(2.5,2.75]","(0.25,0.5]",0.6,"cg_554"
"555","cg_",555,"(2.5,2.75]","(0.5,0.75]",0.6,"cg_555"
"556","cg_",556,"(2.5,2.75]","(0.75,1]",0.6,"cg_556"
"557","cg_",557,"(2.5,2.75]","(1,1.25]",0.6,"cg_557"
"558","cg_",558,"(2.5,2.75]","(1.25,1.5]",0.6,"cg_558"
"559","cg_",559,"(2.5,2.75]","(1.5,1.75]",0.6,"cg_559"
"560","cg_",560,"(2.5,2.75]","(1.75,2]",0.6,"cg_560"
"561","cg_",561,"(2.5,2.75]","(2,2.25]",0.6,"cg_561"
"562","cg_",562,"(2.5,2.75]","(2.25,2.5]",0.6,"cg_562"
"563","cg_",563,"(2.5,2.75]","(2.5,2.75]",0.6,"cg_563"
"564","cg_",564,"(2.5,2.75]","(2.75,3]",0.6,"cg_564"
"565","cg_",565,"(2.75,3]","[0,0.25]",0.6,"cg_565"
"566","cg_",566,"(2.75,3]","(0.25,0.5]",0.6,"cg_566"
"567","cg_",567,"(2.75,3]","(0.5,0.75]",0.6,"cg_567"
"568","cg_",568,"(2.75,3]","(0.75,1]",0.6,"cg_568"
"569","cg_",569,"(2.75,3]","(1,1.25]",0.6,"cg_569"
"570","cg_",570,"(2.75,3]","(1.25,1.5]",0.6,"cg_570"
"571","cg_",571,"(2.75,3]","(1.5,1.75]",0.6,"cg_571"
"572","cg_",572,"(2.75,3]","(1.75,2]",0.6,"cg_572"
"573","cg_",573,"(2.75,3]","(2,2.25]",0.6,"cg_573"
"574","cg_",574,"(2.75,3]","(2.25,2.5]",0.6,"cg_574"
"575","cg_",575,"(2.75,3]","(2.5,2.75]",0.6,"cg_575"
"576","cg_",576,"(2.75,3]","(2.75,3]",0.6,"cg_576"
"577","cg_",577,"[0,0.25]","[0,0.25]",0.75,"cg_577"
"578","cg_",578,"[0,0.25]","(0.25,0.5]",0.75,"cg_578"
"579","cg_",579,"[0,0.25]","(0.5,0.75]",0.75,"cg_579"
"580","cg_",580,"[0,0.25]","(0.75,1]",0.75,"cg_580"
"581","cg_",581,"[0,0.25]","(1,1.25]",0.75,"cg_581"
"582","cg_",582,"[0,0.25]","(1.25,1.5]",0.75,"cg_582"
"583","cg_",583,"[0,0.25]","(1.5,1.75]",0.75,"cg_583"
"584","cg_",584,"[0,0.25]","(1.75,2]",0.75,"cg_584"
"585","cg_",585,"[0,0.25]","(2,2.25]",0.75,"cg_585"
"586","cg_",586,"[0,0.25]","(2.25,2.5]",0.75,"cg_586"
"587","cg_",587,"[0,0.25]","(2.5,2.75]",0.75,"cg_587"
"588","cg_",588,"[0,0.25]","(2.75,3]",0.75,"cg_588"
"589","cg_",589,"(0.25,0.5]","[0,0.25]",0.75,"cg_589"
"590","cg_",590,"(0.25,0.5]","(0.25,0.5]",0.75,"cg_590"
"591","cg_",591,"(0.25,0.5]","(0.5,0.75]",0.75,"cg_591"
"592","cg_",592,"(0.25,0.5]","(0.75,1]",0.75,"cg_592"
"593","cg_",593,"(0.25,0.5]","(1,1.25]",0.75,"cg_593"
"594","cg_",594,"(0.25,0.5]","(1.25,1.5]",0.75,"cg_594"
"595","cg_",595,"(0.25,0.5]","(1.5,1.75]",0.75,"cg_595"
"596","cg_",596,"(0.25,0.5]","(1.75,2]",0.75,"cg_596"
"597","cg_",597,"(0.25,0.5]","(2,2.25]",0.75,"cg_597"
"598","cg_",598,"(0.25,0.5]","(2.25,2.5]",0.75,"cg_598"
"599","cg_",599,"(0.25,0.5]","(2.5,2.75]",0.75,"cg_599"
"600","cg_",600,"(0.25,0.5]","(2.75,3]",0.75,"cg_600"
"601","cg_",601,"(0.5,0.75]","[0,0.25]",0.75,"cg_601"
"602","cg_",602,"(0.5,0.75]","(0.25,0.5]",0.75,"cg_602"
"603","cg_",603,"(0.5,0.75]","(0.5,0.75]",0.75,"cg_603"
"604","cg_",604,"(0.5,0.75]","(0.75,1]",0.75,"cg_604"
"605","cg_",605,"(0.5,0.75]","(1,1.25]",0.75,"cg_605"
"606","cg_",606,"(0.5,0.75]","(1.25,1.5]",0.75,"cg_606"
"607","cg_",607,"(0.5,0.75]","(1.5,1.75]",0.75,"cg_607"
"608","cg_",608,"(0.5,0.75]","(1.75,2]",0.75,"cg_608"
"609","cg_",609,"(0.5,0.75]","(2,2.25]",0.75,"cg_609"
"610","cg_",610,"(0.5,0.75]","(2.25,2.5]",0.75,"cg_610"
"611","cg_",611,"(0.5,0.75]","(2.5,2.75]",0.75,"cg_611"
"612","cg_",612,"(0.5,0.75]","(2.75,3]",0.75,"cg_612"
"613","cg_",613,"(0.75,1]","[0,0.25]",0.75,"cg_613"
"614","cg_",614,"(0.75,1]","(0.25,0.5]",0.75,"cg_614"
"615","cg_",615,"(0.75,1]","(0.5,0.75]",0.75,"cg_615"
"616","cg_",616,"(0.75,1]","(0.75,1]",0.75,"cg_616"
"617","cg_",617,"(0.75,1]","(1,1.25]",0.75,"cg_617"
"618","cg_",618,"(0.75,1]","(1.25,1.5]",0.75,"cg_618"
"619","cg_",619,"(0.75,1]","(1.5,1.75]",0.75,"cg_619"
"620","cg_",620,"(0.75,1]","(1.75,2]",0.75,"cg_620"
"621","cg_",621,"(0.75,1]","(2,2.25]",0.75,"cg_621"
"622","cg_",622,"(0.75,1]","(2.25,2.5]",0.75,"cg_622"
"623","cg_",623,"(0.75,1]","(2.5,2.75]",0.75,"cg_623"
"624","cg_",624,"(0.75,1]","(2.75,3]",0.75,"cg_624"
"625","cg_",625,"(1,1.25]","[0,0.25]",0.75,"cg_625"
"626","cg_",626,"(1,1.25]","(0.25,0.5]",0.75,"cg_626"
"627","cg_",627,"(1,1.25]","(0.5,0.75]",0.75,"cg_627"
"628","cg_",628,"(1,1.25]","(0.75,1]",0.75,"cg_628"
"629","cg_",629,"(1,1.25]","(1,1.25]",0.75,"cg_629"
"630","cg_",630,"(1,1.25]","(1.25,1.5]",0.75,"cg_630"
"631","cg_",631,"(1,1.25]","(1.5,1.75]",0.75,"cg_631"
"632","cg_",632,"(1,1.25]","(1.75,2]",0.75,"cg_632"
"633","cg_",633,"(1,1.25]","(2,2.25]",0.75,"cg_633"
"634","cg_",634,"(1,1.25]","(2.25,2.5]",0.75,"cg_634"
"635","cg_",635,"(1,1.25]","(2.5,2.75]",0.75,"cg_635"
"636","cg_",636,"(1,1.25]","(2.75,3]",0.75,"cg_636"
"637","cg_",637,"(1.25,1.5]","[0,0.25]",0.75,"cg_637"
"638","cg_",638,"(1.25,1.5]","(0.25,0.5]",0.75,"cg_638"
"639","cg_",639,"(1.25,1.5]","(0.5,0.75]",0.75,"cg_639"
"640","cg_",640,"(1.25,1.5]","(0.75,1]",0.75,"cg_640"
"641","cg_",641,"(1.25,1.5]","(1,1.25]",0.75,"cg_641"
"642","cg_",642,"(1.25,1.5]","(1.25,1.5]",0.75,"cg_642"
"643","cg_",643,"(1.25,1.5]","(1.5,1.75]",0.75,"cg_643"
"644","cg_",644,"(1.25,1.5]","(1.75,2]",0.75,"cg_644"
"645","cg_",645,"(1.25,1.5]","(2,2.25]",0.75,"cg_645"
"646","cg_",646,"(1.25,1.5]","(2.25,2.5]",0.75,"cg_646"
"647","cg_",647,"(1.25,1.5]","(2.5,2.75]",0.75,"cg_647"
"648","cg_",648,"(1.25,1.5]","(2.75,3]",0.75,"cg_648"
"649","cg_",649,"(1.5,1.75]","[0,0.25]",0.75,"cg_649"
"650","cg_",650,"(1.5,1.75]","(0.25,0.5]",0.75,"cg_650"
"651","cg_",651,"(1.5,1.75]","(0.5,0.75]",0.75,"cg_651"
"652","cg_",652,"(1.5,1.75]","(0.75,1]",0.75,"cg_652"
"653","cg_",653,"(1.5,1.75]","(1,1.25]",0.75,"cg_653"
"654","cg_",654,"(1.5,1.75]","(1.25,1.5]",0.75,"cg_654"
"655","cg_",655,"(1.5,1.75]","(1.5,1.75]",0.75,"cg_655"
"656","cg_",656,"(1.5,1.75]","(1.75,2]",0.75,"cg_656"
"657","cg_",657,"(1.5,1.75]","(2,2.25]",0.75,"cg_657"
"658","cg_",658,"(1.5,1.75]","(2.25,2.5]",0.75,"cg_658"
"659","cg_",659,"(1.5,1.75]","(2.5,2.75]",0.75,"cg_659"
"660","cg_",660,"(1.5,1.75]","(2.75,3]",0.75,"cg_660"
"661","cg_",661,"(1.75,2]","[0,0.25]",0.75,"cg_661"
"662","cg_",662,"(1.75,2]","(0.25,0.5]",0.75,"cg_662"
"663","cg_",663,"(1.75,2]","(0.5,0.75]",0.75,"cg_663"
"664","cg_",664,"(1.75,2]","(0.75,1]",0.75,"cg_664"
"665","cg_",665,"(1.75,2]","(1,1.25]",0.75,"cg_665"
"666","cg_",666,"(1.75,2]","(1.25,1.5]",0.75,"cg_666"
"667","cg_",667,"(1.75,2]","(1.5,1.75]",0.75,"cg_667"
"668","cg_",668,"(1.75,2]","(1.75,2]",0.75,"cg_668"
"669","cg_",669,"(1.75,2]","(2,2.25]",0.75,"cg_669"
"670","cg_",670,"(1.75,2]","(2.25,2.5]",0.75,"cg_670"
"671","cg_",671,"(1.75,2]","(2.5,2.75]",0.75,"cg_671"
"672","cg_",672,"(1.75,2]","(2.75,3]",0.75,"cg_672"
"673","cg_",673,"(2,2.25]","[0,0.25]",0.75,"cg_673"
"674","cg_",674,"(2,2.25]","(0.25,0.5]",0.75,"cg_674"
"675","cg_",675,"(2,2.25]","(0.5,0.75]",0.75,"cg_675"
"676","cg_",676,"(2,2.25]","(0.75,1]",0.75,"cg_676"
"677","cg_",677,"(2,2.25]","(1,1.25]",0.75,"cg_677"
"678","cg_",678,"(2,2.25]","(1.25,1.5]",0.75,"cg_678"
"679","cg_",679,"(2,2.25]","(1.5,1.75]",0.75,"cg_679"
"680","cg_",680,"(2,2.25]","(1.75,2]",0.75,"cg_680"
"681","cg_",681,"(2,2.25]","(2,2.25]",0.75,"cg_681"
"682","cg_",682,"(2,2.25]","(2.25,2.5]",0.75,"cg_682"
"683","cg_",683,"(2,2.25]","(2.5,2.75]",0.75,"cg_683"
"684","cg_",684,"(2,2.25]","(2.75,3]",0.75,"cg_684"
"685","cg_",685,"(2.25,2.5]","[0,0.25]",0.75,"cg_685"
"686","cg_",686,"(2.25,2.5]","(0.25,0.5]",0.75,"cg_686"
"687","cg_",687,"(2.25,2.5]","(0.5,0.75]",0.75,"cg_687"
"688","cg_",688,"(2.25,2.5]","(0.75,1]",0.75,"cg_688"
"689","cg_",689,"(2.25,2.5]","(1,1.25]",0.75,"cg_689"
"690","cg_",690,"(2.25,2.5]","(1.25,1.5]",0.75,"cg_690"
"691","cg_",691,"(2.25,2.5]","(1.5,1.75]",0.75,"cg_691"
"692","cg_",692,"(2.25,2.5]","(1.75,2]",0.75,"cg_692"
"693","cg_",693,"(2.25,2.5]","(2,2.25]",0.75,"cg_693"
"694","cg_",694,"(2.25,2.5]","(2.25,2.5]",0.75,"cg_694"
"695","cg_",695,"(2.25,2.5]","(2.5,2.75]",0.75,"cg_695"
"696","cg_",696,"(2.25,2.5]","(2.75,3]",0.75,"cg_696"
"697","cg_",697,"(2.5,2.75]","[0,0.25]",0.75,"cg_697"
"698","cg_",698,"(2.5,2.75]","(0.25,0.5]",0.75,"cg_698"
"699","cg_",699,"(2.5,2.75]","(0.5,0.75]",0.75,"cg_699"
"700","cg_",700,"(2.5,2.75]","(0.75,1]",0.75,"cg_700"
"701","cg_",701,"(2.5,2.75]","(1,1.25]",0.75,"cg_701"
"702","cg_",702,"(2.5,2.75]","(1.25,1.5]",0.75,"cg_702"
"703","cg_",703,"(2.5,2.75]","(1.5,1.75]",0.75,"cg_703"
"704","cg_",704,"(2.5,2.75]","(1.75,2]",0.75,"cg_704"
"705","cg_",705,"(2.5,2.75]","(2,2.25]",0.75,"cg_705"
"706","cg_",706,"(2.5,2.75]","(2.25,2.5]",0.75,"cg_706"
"707","cg_",707,"(2.5,2.75]","(2.5,2.75]",0.75,"cg_707"
"708","cg_",708,"(2.5,2.75]","(2.75,3]",0.75,"cg_708"
"709","cg_",709,"(2.75,3]","[0,0.25]",0.75,"cg_709"
"710","cg_",710,"(2.75,3]","(0.25,0.5]",0.75,"cg_710"
"711","cg_",711,"(2.75,3]","(0.5,0.75]",0.75,"cg_711"
"712","cg_",712,"(2.75,3]","(0.75,1]",0.75,"cg_712"
"713","cg_",713,"(2.75,3]","(1,1.25]",0.75,"cg_713"
"714","cg_",714,"(2.75,3]","(1.25,1.5]",0.75,"cg_714"
"715","cg_",715,"(2.75,3]","(1.5,1.75]",0.75,"cg_715"
