"","v","num","s","s.u","u","gc_name"
"72","cg_",72,"(1.25,1.5]","(2.75,3]",0.15,"cg_72"
"73","cg_",73,"(1.5,1.75]","[0,0.25]",0.15,"cg_73"
"74","cg_",74,"(1.5,1.75]","(0.25,0.5]",0.15,"cg_74"
"75","cg_",75,"(1.5,1.75]","(0.5,0.75]",0.15,"cg_75"
"76","cg_",76,"(1.5,1.75]","(0.75,1]",0.15,"cg_76"
"77","cg_",77,"(1.5,1.75]","(1,1.25]",0.15,"cg_77"
"78","cg_",78,"(1.5,1.75]","(1.25,1.5]",0.15,"cg_78"
"79","cg_",79,"(1.5,1.75]","(1.5,1.75]",0.15,"cg_79"
"80","cg_",80,"(1.5,1.75]","(1.75,2]",0.15,"cg_80"
"81","cg_",81,"(1.5,1.75]","(2,2.25]",0.15,"cg_81"
"82","cg_",82,"(1.5,1.75]","(2.25,2.5]",0.15,"cg_82"
"83","cg_",83,"(1.5,1.75]","(2.5,2.75]",0.15,"cg_83"
"84","cg_",84,"(1.5,1.75]","(2.75,3]",0.15,"cg_84"
"85","cg_",85,"(1.75,2]","[0,0.25]",0.15,"cg_85"
"86","cg_",86,"(1.75,2]","(0.25,0.5]",0.15,"cg_86"
"87","cg_",87,"(1.75,2]","(0.5,0.75]",0.15,"cg_87"
"88","cg_",88,"(1.75,2]","(0.75,1]",0.15,"cg_88"
"89","cg_",89,"(1.75,2]","(1,1.25]",0.15,"cg_89"
"90","cg_",90,"(1.75,2]","(1.25,1.5]",0.15,"cg_90"
"91","cg_",91,"(1.75,2]","(1.5,1.75]",0.15,"cg_91"
"92","cg_",92,"(1.75,2]","(1.75,2]",0.15,"cg_92"
"93","cg_",93,"(1.75,2]","(2,2.25]",0.15,"cg_93"
"94","cg_",94,"(1.75,2]","(2.25,2.5]",0.15,"cg_94"
"95","cg_",95,"(1.75,2]","(2.5,2.75]",0.15,"cg_95"
"96","cg_",96,"(1.75,2]","(2.75,3]",0.15,"cg_96"
"97","cg_",97,"(2,2.25]","[0,0.25]",0.15,"cg_97"
"98","cg_",98,"(2,2.25]","(0.25,0.5]",0.15,"cg_98"
"99","cg_",99,"(2,2.25]","(0.5,0.75]",0.15,"cg_99"
"100","cg_",100,"(2,2.25]","(0.75,1]",0.15,"cg_100"
"101","cg_",101,"(2,2.25]","(1,1.25]",0.15,"cg_101"
"102","cg_",102,"(2,2.25]","(1.25,1.5]",0.15,"cg_102"
"103","cg_",103,"(2,2.25]","(1.5,1.75]",0.15,"cg_103"
"104","cg_",104,"(2,2.25]","(1.75,2]",0.15,"cg_104"
"105","cg_",105,"(2,2.25]","(2,2.25]",0.15,"cg_105"
"106","cg_",106,"(2,2.25]","(2.25,2.5]",0.15,"cg_106"
"107","cg_",107,"(2,2.25]","(2.5,2.75]",0.15,"cg_107"
"108","cg_",108,"(2,2.25]","(2.75,3]",0.15,"cg_108"
"109","cg_",109,"(2.25,2.5]","[0,0.25]",0.15,"cg_109"
"110","cg_",110,"(2.25,2.5]","(0.25,0.5]",0.15,"cg_110"
"111","cg_",111,"(2.25,2.5]","(0.5,0.75]",0.15,"cg_111"
"112","cg_",112,"(2.25,2.5]","(0.75,1]",0.15,"cg_112"
"113","cg_",113,"(2.25,2.5]","(1,1.25]",0.15,"cg_113"
"114","cg_",114,"(2.25,2.5]","(1.25,1.5]",0.15,"cg_114"
"115","cg_",115,"(2.25,2.5]","(1.5,1.75]",0.15,"cg_115"
"116","cg_",116,"(2.25,2.5]","(1.75,2]",0.15,"cg_116"
"117","cg_",117,"(2.25,2.5]","(2,2.25]",0.15,"cg_117"
"118","cg_",118,"(2.25,2.5]","(2.25,2.5]",0.15,"cg_118"
"119","cg_",119,"(2.25,2.5]","(2.5,2.75]",0.15,"cg_119"
"120","cg_",120,"(2.25,2.5]","(2.75,3]",0.15,"cg_120"
"121","cg_",121,"(2.5,2.75]","[0,0.25]",0.15,"cg_121"
"122","cg_",122,"(2.5,2.75]","(0.25,0.5]",0.15,"cg_122"
"123","cg_",123,"(2.5,2.75]","(0.5,0.75]",0.15,"cg_123"
"124","cg_",124,"(2.5,2.75]","(0.75,1]",0.15,"cg_124"
"125","cg_",125,"(2.5,2.75]","(1,1.25]",0.15,"cg_125"
"126","cg_",126,"(2.5,2.75]","(1.25,1.5]",0.15,"cg_126"
"127","cg_",127,"(2.5,2.75]","(1.5,1.75]",0.15,"cg_127"
"128","cg_",128,"(2.5,2.75]","(1.75,2]",0.15,"cg_128"
"129","cg_",129,"(2.5,2.75]","(2,2.25]",0.15,"cg_129"
"130","cg_",130,"(2.5,2.75]","(2.25,2.5]",0.15,"cg_130"
"131","cg_",131,"(2.5,2.75]","(2.5,2.75]",0.15,"cg_131"
"132","cg_",132,"(2.5,2.75]","(2.75,3]",0.15,"cg_132"
"133","cg_",133,"(2.75,3]","[0,0.25]",0.15,"cg_133"
"134","cg_",134,"(2.75,3]","(0.25,0.5]",0.15,"cg_134"
"135","cg_",135,"(2.75,3]","(0.5,0.75]",0.15,"cg_135"
"136","cg_",136,"(2.75,3]","(0.75,1]",0.15,"cg_136"
"137","cg_",137,"(2.75,3]","(1,1.25]",0.15,"cg_137"
"138","cg_",138,"(2.75,3]","(1.25,1.5]",0.15,"cg_138"
"139","cg_",139,"(2.75,3]","(1.5,1.75]",0.15,"cg_139"
"140","cg_",140,"(2.75,3]","(1.75,2]",0.15,"cg_140"
"141","cg_",141,"(2.75,3]","(2,2.25]",0.15,"cg_141"
"142","cg_",142,"(2.75,3]","(2.25,2.5]",0.15,"cg_142"
"143","cg_",143,"(2.75,3]","(2.5,2.75]",0.15,"cg_143"
"144","cg_",144,"(2.75,3]","(2.75,3]",0.15,"cg_144"
"145","cg_",145,"[0,0.25]","[0,0.25]",0.3,"cg_145"
"146","cg_",146,"[0,0.25]","(0.25,0.5]",0.3,"cg_146"
"147","cg_",147,"[0,0.25]","(0.5,0.75]",0.3,"cg_147"
"148","cg_",148,"[0,0.25]","(0.75,1]",0.3,"cg_148"
"149","cg_",149,"[0,0.25]","(1,1.25]",0.3,"cg_149"
"150","cg_",150,"[0,0.25]","(1.25,1.5]",0.3,"cg_150"
"151","cg_",151,"[0,0.25]","(1.5,1.75]",0.3,"cg_151"
"152","cg_",152,"[0,0.25]","(1.75,2]",0.3,"cg_152"
"153","cg_",153,"[0,0.25]","(2,2.25]",0.3,"cg_153"
"154","cg_",154,"[0,0.25]","(2.25,2.5]",0.3,"cg_154"
"155","cg_",155,"[0,0.25]","(2.5,2.75]",0.3,"cg_155"
"156","cg_",156,"[0,0.25]","(2.75,3]",0.3,"cg_156"
"157","cg_",157,"(0.25,0.5]","[0,0.25]",0.3,"cg_157"
"158","cg_",158,"(0.25,0.5]","(0.25,0.5]",0.3,"cg_158"
"159","cg_",159,"(0.25,0.5]","(0.5,0.75]",0.3,"cg_159"
"160","cg_",160,"(0.25,0.5]","(0.75,1]",0.3,"cg_160"
"161","cg_",161,"(0.25,0.5]","(1,1.25]",0.3,"cg_161"
"162","cg_",162,"(0.25,0.5]","(1.25,1.5]",0.3,"cg_162"
"163","cg_",163,"(0.25,0.5]","(1.5,1.75]",0.3,"cg_163"
"164","cg_",164,"(0.25,0.5]","(1.75,2]",0.3,"cg_164"
"165","cg_",165,"(0.25,0.5]","(2,2.25]",0.3,"cg_165"
"166","cg_",166,"(0.25,0.5]","(2.25,2.5]",0.3,"cg_166"
"167","cg_",167,"(0.25,0.5]","(2.5,2.75]",0.3,"cg_167"
"168","cg_",168,"(0.25,0.5]","(2.75,3]",0.3,"cg_168"
"169","cg_",169,"(0.5,0.75]","[0,0.25]",0.3,"cg_169"
"170","cg_",170,"(0.5,0.75]","(0.25,0.5]",0.3,"cg_170"
"171","cg_",171,"(0.5,0.75]","(0.5,0.75]",0.3,"cg_171"
"172","cg_",172,"(0.5,0.75]","(0.75,1]",0.3,"cg_172"
"173","cg_",173,"(0.5,0.75]","(1,1.25]",0.3,"cg_173"
"174","cg_",174,"(0.5,0.75]","(1.25,1.5]",0.3,"cg_174"
"175","cg_",175,"(0.5,0.75]","(1.5,1.75]",0.3,"cg_175"
"176","cg_",176,"(0.5,0.75]","(1.75,2]",0.3,"cg_176"
"177","cg_",177,"(0.5,0.75]","(2,2.25]",0.3,"cg_177"
"178","cg_",178,"(0.5,0.75]","(2.25,2.5]",0.3,"cg_178"
"179","cg_",179,"(0.5,0.75]","(2.5,2.75]",0.3,"cg_179"
"180","cg_",180,"(0.5,0.75]","(2.75,3]",0.3,"cg_180"
"181","cg_",181,"(0.75,1]","[0,0.25]",0.3,"cg_181"
"182","cg_",182,"(0.75,1]","(0.25,0.5]",0.3,"cg_182"
"183","cg_",183,"(0.75,1]","(0.5,0.75]",0.3,"cg_183"
"184","cg_",184,"(0.75,1]","(0.75,1]",0.3,"cg_184"
"185","cg_",185,"(0.75,1]","(1,1.25]",0.3,"cg_185"
"186","cg_",186,"(0.75,1]","(1.25,1.5]",0.3,"cg_186"
"187","cg_",187,"(0.75,1]","(1.5,1.75]",0.3,"cg_187"
"188","cg_",188,"(0.75,1]","(1.75,2]",0.3,"cg_188"
"189","cg_",189,"(0.75,1]","(2,2.25]",0.3,"cg_189"
"190","cg_",190,"(0.75,1]","(2.25,2.5]",0.3,"cg_190"
"191","cg_",191,"(0.75,1]","(2.5,2.75]",0.3,"cg_191"
"192","cg_",192,"(0.75,1]","(2.75,3]",0.3,"cg_192"
"193","cg_",193,"(1,1.25]","[0,0.25]",0.3,"cg_193"
"194","cg_",194,"(1,1.25]","(0.25,0.5]",0.3,"cg_194"
